taxa,PC1,PC2,PC3
HTSIL37,-24.9595666464319,21.2797343057686,25.1497478449059
HTSIL39,-27.511457087941,37.3962521820674,-22.2706672085748
HTSIL40,-27.0417870091274,19.0073625819978,26.322432862811
HTSIL41,-30.8156045189026,26.1649972306959,24.6386782648607
HTSIL43,-47.312159125819,-32.9885788373469,1.92870901814339
HTSIL44,-9.09492084892703,21.9828805722466,-7.43648397435915
HTSIL46,-29.3141712118051,17.7375439286814,12.5962165096615
HTSIL47,2.01648391429629,2.12469014641825,-0.890363712540159
HTSIL50,0.066724034880214,5.03562691852707,-7.77727995044508
HTSIL51,-30.7538539068921,30.1105832496409,28.5902981141619
HTSIL52,-30.2204310278886,27.7403749246675,29.1412061984795
HTSIL53,-26.2944372831054,22.8473591269592,10.5880938347092
HTSIL54,-47.7108122023577,-32.808884459063,1.86200910390263
HTSIL55,-30.6705667811661,29.1141052185838,16.2902623134273
HTSIL56,-31.7743045619049,5.2262619219206,8.70579029510184
HTSIL59,-22.3987072568075,9.16587895136673,-1.61034008397318
HTSIL65,-15.9124849282811,25.3526962630015,-16.4225233489724
HTSIL66,-33.5835936528678,33.1608177537771,-20.3578823535981
HTSIL67,-10.9284831018159,11.4257062802187,9.08914530378644
HTSIL68,-28.3825074004547,27.9740159681918,-12.9425626450083
HTSIL71,-32.4719169644668,-6.20173878080661,-1.72928930226468
HTSIL72,-39.7160662686375,-25.4768560629149,-7.04436699035226
HTSIL74,-42.2407153696166,-24.3449408488187,-2.2022160557131
HTSIL76,-26.2791578732868,-21.5316447273623,-1.69454673782266
HTSIL77,15.8404592284443,-3.06312028424207,0.527443131451253
HTSIL84,-47.748372703514,-33.2070247401526,2.0589281562026
HTSIL88,-7.19345340609747,17.4389349976102,-6.30492028446578
HTSIL22,-38.0683484611473,-8.60196636670982,-1.45008293687273
HTSIL38,-24.6841723908053,21.0209729360086,25.1085335240957
HTSIL49,-30.8911296589593,28.2318815700816,29.4265234514156
HTSIL58,-26.3513402003741,16.4765988077133,14.3385817777434
HTSIL73,-49.7167514978463,-27.3607088534261,-2.8035817627618
N05006,-15.3039973217661,14.7885643456704,-2.23649584206057
N10066,12.7005826898279,-0.716735059157451,-3.45676742813022
N11055,-0.608916080331698,7.07563772535408,-1.17407466779931
N12009,17.7188547843692,-4.12518394935895,1.92640913294339
N13031,-13.3619589700322,11.2062634118462,4.35203360435858
N13042,20.3540719403229,-2.9223532971133,-1.46518078289341
N13051,20.31036203595,-2.91984313497389,-1.3036494278922
N14001,15.8737669738705,-2.18333643021394,0.266312710047564
N14002,15.1807820442072,-4.91067910253377,-0.0292215637622
N14004,15.2298393655655,-3.81028817671477,-0.397155639957837
N14007,14.9622011879889,-2.44050656699023,1.98800705637438
N14009,12.634253681202,-2.04486038683041,0.992116812578806
N14017,13.7651726649674,-1.71152315854159,0.936200531999508
N14027,18.5395508523181,-3.80301390772225,-2.04629018073835
N14039,17.1292597142118,-1.53111949632509,-2.05171552380698
N15017,16.7134642182349,-3.91251089345637,0.76829043370183
N15039,16.1045735539735,-2.97767619199849,1.7963079822196
N15041,19.8852078812394,-2.93207044350265,-1.04967387601775
N15044,20.3743901249426,-3.42932895670817,-0.496100521326722
N15053,15.2373625045748,0.0218812161529652,-0.470090460699816
N15060,-2.60089902752845,-5.78857813762462,5.37272609460775
N15066,2.21993326476485,-1.15336070871181,2.14421496172557
N16005,12.1472610299645,-0.469337581462685,-1.33246220901639
N16011,7.41834603462854,-0.0518335148950048,2.96789034134836
N16012,17.0237073360714,-3.00100238407256,1.91636948237193
N16021,20.0580264687238,-3.56088852817387,-0.822483753543797
N16028,16.0715036067911,-3.73229026637482,0.0123615671184288
N16030,16.5070378747752,-3.3246580639431,0.329499834197689
N16032,18.3599222700406,-1.55190320427522,-2.9139583604243
N16034,3.10746952730979,9.71229821349138,6.82279329997543
N16035,18.1994566146236,-2.46823926173436,1.38592217909107
N16050,19.0193120525488,-3.18720399662374,0.775372796062604
N16055,19.8732716390382,-3.26590601923511,-0.551118724677152
N17036,16.9060196793195,-2.72165962328045,-0.0743472553573313
N17037,16.9891988733007,-2.62901968986787,-0.410029630835054
N17039,17.0037892744242,-3.12613460794796,1.84467937100809
N17040,16.9194900968374,-3.2221327141448,1.89792934690172
N17041,17.1434794035932,-2.99103592201241,1.5146392081955
